Instance,UB,CPU_all,Rel_Heur_Dev,Num_fixed,Rel_Time_Root,BBnodes
1000Ia.txt,113144817.97,227549.0,0.0,989.0,62.02,8719.0
250IIIi.txt,7880912.4,439.14,0.04,235.0,58.44,207.0
300IIIi.txt,7611876.55,1194.01,0.0,289.0,42.67,991.0
350IIIi.txt,9445459.03,6524.52,0.0,333.0,18.11,5338.0
400IIIi.txt,22828621.74,5976.75,0.05,375.0,28.51,2259.0
450IIIi.txt,29715150.35,20463.62,0.2,413.0,18.74,4968.0
500IIIi.txt,36500689.64,5221.38,0.0,489.0,81.4,498.0
600Ia.txt,47878571.44,30162.95,0.02,577.0,55.99,2385.0
650Ia.txt,51115098.98,57811.47,0.0,636.0,48.48,10082.0
700Ia.txt,60386958.62,50582.63,0.0,681.0,53.7,5968.0
750Ia.txt,68382804.86,49143.18,0.01,744.0,77.57,3002.0
800Ia.txt,75011490.17,60505.13,0.0,792.0,86.14,2065.0
850Ia.txt,85547053.64,102411.16,0.01,844.0,80.4,4037.0
900Ia.txt,92987214.82,111830.99,0.0,888.0,75.43,5260.0
950Ia.txt,101245193.3,212247.85,0.0,941.0,59.31,14463.0
Testbed average,53978794.23,62804.25,0.02,615.07,56.46,4682.8
